lead_id,age,annual_income,website_visits,prior_purchases,support_tickets,region,channel,loyalty_segment
L1000,42,100989,12,5,1,north,web,gold
L1001,52,87081,11,2,1,east,email,bronze
L1002,31,83936,13,0,0,north,referral,bronze
L1003,37,78989,6,0,1,north,web,silver
L1004,37,101294,10,0,0,north,email,bronze
L1005,34,105769,6,0,1,east,web,silver
L1006,49,36695,7,2,0,east,referral,silver
L1007,56,46817,10,5,0,south,web,gold
L1008,34,68846,16,5,0,north,web,bronze
L1009,26,79054,10,1,0,west,referral,silver
L1010,54,139591,13,0,1,east,web,bronze
L1011,54,128303,13,1,2,east,email,silver
L1012,58,102067,8,1,2,east,referral,bronze
L1013,31,35894,6,3,0,west,referral,silver
L1014,49,42874,10,0,2,west,web,silver
L1015,49,81392,12,0,0,south,event,silver
L1016,52,95401,10,4,1,east,referral,silver
L1017,53,103337,7,0,4,north,email,bronze
L1018,59,47329,9,2,2,east,referral,bronze
L1019,40,127872,6,2,0,south,referral,bronze
L1020,24,85268,12,1,0,north,referral,gold
L1021,28,96128,5,0,0,west,referral,gold
L1022,56,36245,19,1,1,west,referral,bronze
L1023,54,121044,12,0,3,south,event,bronze
L1024,21,90649,13,4,1,west,referral,bronze
L1025,35,56050,16,0,0,south,referral,silver
L1026,30,66436,10,3,0,south,referral,bronze
L1027,33,70103,10,2,0,west,event,bronze
