lead_id,age,annual_income,website_visits,prior_purchases,support_tickets,region,channel,loyalty_segment,qualified
L1000,24,66633,15,3,0,north,web,bronze,1
L1001,51,43636,13,4,2,south,web,bronze,1
L1002,47,98381,12,5,1,south,event,silver,1
L1003,38,130929,9,4,1,north,event,bronze,1
L1004,38,137316,10,2,0,west,event,bronze,1
L1005,55,56863,15,0,0,north,email,bronze,1
L1006,24,57537,7,1,0,west,referral,bronze,1
L1007,48,36040,12,1,0,north,event,silver,1
L1008,29,47256,8,0,2,west,web,gold,0
L1009,24,91924,3,1,1,north,web,silver,0
L1010,42,91054,11,2,1,south,event,bronze,1
L1011,60,72059,9,1,0,east,web,silver,0
L1012,50,65475,9,3,3,north,referral,gold,1
L1013,51,121617,9,1,1,west,referral,silver,1
L1014,49,81683,11,3,0,north,referral,bronze,1
L1015,52,119291,9,4,1,east,web,bronze,1
L1016,41,136026,8,2,1,east,referral,gold,1
L1017,26,66251,17,4,1,east,web,gold,1
L1018,54,53895,7,3,1,north,event,bronze,1
L1019,39,134913,8,3,0,north,web,gold,1
L1020,41,100561,12,1,0,north,referral,bronze,1
L1021,35,63419,5,2,2,south,referral,bronze,1
L1022,28,99160,12,2,1,north,web,silver,1
L1023,58,87626,6,1,1,west,web,silver,1
L1024,52,129797,11,5,1,south,referral,bronze,1
L1025,46,59644,15,3,1,east,web,gold,1
L1026,37,139069,7,3,3,south,web,gold,1
L1027,53,133092,7,0,1,north,email,bronze,1
L1028,42,51515,20,5,1,south,event,silver,1
L1029,38,49777,9,0,1,south,referral,silver,1
L1030,39,89580,9,1,0,south,email,silver,1
L1031,30,36850,12,1,1,south,event,gold,0
L1032,24,64270,11,1,2,south,email,silver,0
L1033,43,78990,11,1,0,west,email,bronze,1
L1034,56,136692,11,2,0,north,email,bronze,1
L1035,23,139176,4,4,1,south,web,gold,1
L1036,55,48366,15,3,2,north,web,gold,1
L1037,54,128301,11,4,1,south,referral,bronze,1
L1038,32,41820,13,2,1,east,web,bronze,1
L1039,46,112849,5,0,1,north,referral,silver,0
L1040,27,123329,7,4,0,east,web,bronze,1
L1041,51,128205,6,3,1,south,email,bronze,1
L1042,49,56129,3,1,1,north,web,gold,0
L1043,35,128492,12,2,1,west,referral,gold,1
L1044,23,44525,7,2,0,south,referral,gold,0
L1045,59,88036,5,2,0,west,email,silver,1
L1046,38,82710,7,1,1,south,web,bronze,1
L1047,56,66120,16,1,1,west,web,gold,1
L1048,48,34388,5,0,0,south,referral,bronze,1
L1049,52,115377,9,1,1,south,web,bronze,1
L1050,51,68243,6,1,2,east,referral,gold,0
L1051,28,103459,9,3,2,south,email,silver,1
L1052,35,76303,6,1,2,south,web,gold,1
L1053,39,72355,15,1,1,west,referral,bronze,1
L1054,40,127719,10,2,1,east,email,gold,1
L1055,22,42202,14,2,2,east,web,silver,1
L1056,42,111554,9,3,0,east,event,silver,1
L1057,27,112653,13,1,0,west,web,gold,1
L1058,50,73039,7,1,0,west,email,bronze,1
L1059,48,60345,9,2,2,east,email,silver,1
L1060,57,32573,14,0,0,south,email,silver,0
L1061,50,133175,8,3,1,north,referral,silver,1
L1062,35,134354,11,0,1,east,web,gold,1
L1063,59,58024,9,1,0,west,event,silver,1
L1064,37,35446,13,3,1,south,referral,bronze,1
L1065,34,45257,10,0,1,north,event,bronze,1
L1066,57,39305,5,0,3,south,referral,gold,1
L1067,35,121760,14,2,2,south,event,gold,1
L1068,24,128326,11,2,0,west,referral,gold,1
L1069,39,48554,7,1,1,north,email,bronze,1
L1070,52,112647,14,6,2,east,email,bronze,1
L1071,28,51360,18,6,1,east,referral,silver,1
L1072,39,71658,8,4,0,west,email,silver,1
L1073,26,96733,9,3,1,north,referral,bronze,1
L1074,48,109752,14,4,0,west,web,silver,1
L1075,40,126452,11,4,1,east,event,bronze,1
L1076,34,36836,15,1,1,east,web,silver,1
L1077,30,53214,7,2,1,north,event,bronze,1
L1078,43,62294,10,3,4,south,web,bronze,1
L1079,47,65514,11,1,2,east,web,bronze,1
L1080,58,139787,14,3,2,south,referral,gold,1
L1081,38,115959,12,1,1,south,referral,silver,1
L1082,27,66605,8,2,0,east,referral,gold,1
L1083,54,136957,2,2,0,east,event,silver,1
L1084,46,85925,9,1,2,north,web,bronze,1
L1085,49,86080,12,3,0,south,event,bronze,1
L1086,24,78839,6,6,1,north,email,silver,1
L1087,33,47540,13,1,4,west,email,bronze,1
L1088,51,132912,8,2,1,west,email,silver,1
L1089,54,33505,12,3,0,south,web,gold,1
L1090,38,50822,3,2,2,north,referral,gold,1
L1091,53,56802,10,2,1,north,referral,bronze,1
L1092,54,62164,8,1,0,south,web,silver,1
L1093,36,46236,7,1,0,west,event,bronze,0
L1094,56,33939,8,4,0,south,email,bronze,1
L1095,32,105187,11,0,1,north,web,silver,0
L1096,30,136685,11,1,1,north,referral,silver,1
L1097,48,45157,12,1,3,north,web,silver,1
L1098,46,64025,10,1,2,west,web,bronze,0
L1099,26,86683,11,4,0,east,referral,gold,1
L1100,54,132170,6,1,0,east,web,gold,1
L1101,28,106980,8,2,0,south,web,silver,1
L1102,53,114748,14,3,1,west,referral,gold,1
L1103,21,94760,13,2,0,south,web,bronze,0
L1104,52,77039,10,2,1,west,referral,silver,1
L1105,52,53575,8,3,0,west,referral,gold,1
L1106,52,125345,9,2,1,south,web,gold,1
L1107,47,118845,9,1,0,west,email,gold,1
L1108,39,34710,8,1,0,north,web,silver,0
L1109,49,109263,10,3,0,east,referral,gold,1
L1110,32,41113,13,5,1,north,web,silver,1
L1111,52,111810,11,1,0,south,event,bronze,1
L1112,43,121203,9,1,2,north,web,bronze,1
L1113,39,46154,7,2,0,north,referral,silver,1
L1114,41,78854,12,2,2,north,web,silver,1
L1115,43,45365,12,1,0,south,web,silver,1
L1116,22,93266,11,1,0,east,email,gold,1
L1117,26,132176,7,3,1,south,referral,silver,1
L1118,30,40733,15,2,1,south,event,bronze,1
L1119,25,74938,11,2,1,west,web,bronze,1
L1120,38,137097,9,0,2,west,web,silver,1
L1121,47,64502,10,0,0,north,email,silver,0
L1122,47,46279,11,2,1,south,email,silver,1
L1123,39,84767,9,1,1,east,event,silver,1
L1124,55,86904,16,4,1,east,event,silver,1
L1125,43,103589,8,1,0,south,event,silver,1
L1126,24,65883,15,4,0,east,web,gold,1
L1127,51,135207,8,4,0,north,email,bronze,1
L1128,43,88270,11,1,0,south,referral,silver,1
L1129,46,62936,8,0,1,east,web,silver,0
L1130,43,135710,8,1,0,east,referral,bronze,0
L1131,43,131879,13,3,0,west,web,silver,1
L1132,24,85909,8,5,0,north,web,silver,1
L1133,43,34684,11,3,2,north,event,silver,1
L1134,52,96469,11,2,3,north,web,silver,0
L1135,33,91961,12,2,0,north,event,bronze,1
L1136,45,48006,13,3,2,north,web,bronze,1
L1137,22,100469,15,3,1,south,web,bronze,1
L1138,34,122805,13,4,2,east,web,bronze,1
L1139,38,43436,8,1,1,east,web,silver,1
L1140,60,110118,12,2,1,south,email,gold,1
L1141,29,47156,11,0,2,north,web,silver,0
L1142,32,112873,12,0,0,east,referral,bronze,1
L1143,37,77264,5,1,1,north,event,bronze,1
L1144,60,32703,15,1,0,west,email,bronze,0
L1145,55,136353,10,2,0,north,web,silver,1
L1146,22,49924,13,2,1,east,email,bronze,0
L1147,30,96372,10,3,0,west,referral,silver,0
L1148,53,51598,14,3,1,east,referral,silver,1
L1149,23,132766,6,1,2,east,web,silver,1
L1150,55,111739,8,0,0,east,email,bronze,1
L1151,32,118870,14,2,0,north,email,bronze,0
L1152,57,78664,18,0,1,east,web,silver,1
L1153,32,82477,11,1,0,west,web,silver,1
L1154,38,100504,8,1,1,west,event,bronze,0
L1155,47,116754,6,2,0,south,web,gold,1
L1156,26,123473,9,1,1,south,web,silver,1
L1157,43,33926,11,1,0,east,web,silver,1
L1158,41,103664,7,1,1,east,referral,bronze,1
L1159,52,43787,11,1,1,north,email,bronze,1
L1160,60,63096,9,2,0,north,web,bronze,1
L1161,47,121578,12,1,1,north,email,bronze,1
L1162,37,59055,10,1,0,south,referral,silver,0
L1163,37,118056,13,4,3,north,web,silver,1
L1164,37,82004,10,1,0,north,event,gold,1
L1165,53,57125,14,0,1,north,web,gold,0
L1166,33,68098,6,0,0,west,web,bronze,0
L1167,27,89323,8,2,1,north,event,bronze,1
L1168,34,114635,7,3,0,north,referral,silver,1
L1169,21,97449,6,1,0,south,email,gold,1
L1170,25,132788,11,1,1,north,event,gold,1
L1171,24,125715,7,1,1,west,email,bronze,1
L1172,51,113362,9,1,0,west,email,bronze,1
L1173,49,97135,12,1,1,south,event,bronze,1
L1174,48,63304,8,2,2,south,referral,gold,1
L1175,39,76557,12,1,2,south,web,silver,0
L1176,49,44840,8,2,2,north,referral,silver,1
L1177,27,72411,13,5,2,south,email,silver,1
L1178,57,132059,6,3,0,north,web,bronze,1
